month,theme,why_this_month,curator_name,title,type,subtopic,summary,rating,source_url,medium_url,insight,podcast_title,podcast_ep,podcast_desc,podcast_duration,podcast_spotify,podcast_apple,podcast_youtube
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,雙螢幕工作流與認知負荷的實證研究,論文,認知/行為,量化多工場景下的注意力分配模式，探討認知負荷的實際影響。,4,https://example.com/paper1,https://medium.com/@example/dual-screen-cognitive,雙螢幕的核心優勢是「空間不需重建」，這是 AI 虛擬視窗目前無法複製的。,我們為什麼還需要兩塊螢幕？,EP.05,研究完這個月的素材後，我們聊了硬體的角度、AI 工具的邊界，以及螢幕到底在解決什麼。,42:18,https://open.spotify.com/episode/example,https://podcasts.apple.com/example,https://youtube.com/watch?v=example
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,多螢幕環境下的任務切換效率分析,論文,認知/行為,比較單螢幕與多螢幕下的任務切換時間與錯誤率差異。,5,https://example.com/paper2,https://medium.com/@example/task-switching,使用者對螢幕數量的偏好根本上是對空間記憶的偷懶。,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,Apple Stage Manager 為什麼失敗,產品觀察,產品/UX,虛擬多視窗的物理雙螢幕的本質差異，以及 UX 設計上的取捨。,4,https://example.com/stage-manager,,折疊螢幕與透明 AR 才是真正的威脅，而非軟體多視窗。,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,Windows Snap Layouts 的設計演進,產品觀察,產品/UX,從 Windows 7 到 11 的視窗管理 UX 變化與使用者研究。,3,https://example.com/snap-layouts,https://medium.com/@example/windows-snap,,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,Deskpad + BetterDisplay 實測,工具測試,工具/硬體,目前最接近理想體驗的 Mac 工具組合，實際測試與評價。,5,https://example.com/deskpad,,,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,超寬螢幕 vs 雙螢幕：開發者實測比較,工具測試,工具/硬體,34 吋超寬與雙 24 吋配置在程式開發場景下的優劣比較。,4,https://example.com/ultrawide-vs-dual,https://medium.com/@example/ultrawide,,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,注意力經濟與螢幕空間的關係,論文,認知/行為,從注意力經濟的角度分析螢幕空間如何影響資訊消費行為。,3,https://example.com/attention-economy,,,,,,,,,
2026-05,Dual Screen,雙螢幕工作流為什麼還沒被 AI 工具取代？從障礙限制、認知負荷到使用者行為的全面折解。,Alice,虛擬桌面的認知負擔：為什麼人類偏好實體空間,論文,理論框架,探討空間認知理論如何解釋人類對實體多螢幕的偏好。,4,https://example.com/virtual-desktop-cognitive,https://medium.com/@example/virtual-desktop,,,,,,,,
2026-04,AI Agent,當 AI 不再只是回答問題而是主動完成任務——AI Agent 的現況、挑戰與實作方法全面探討。,Bob,LangChain Agent 架構深度剖析,論文,架構設計,分析 LangChain Agent 的 ReAct 架構與工具調用機制。,5,https://example.com/langchain-agent,https://medium.com/@example/langchain,Agent 最大的挑戰不是技術而是信任——使用者何時願意放手讓 AI 做決定。,AI Agent 是泡沫還是未來？,EP.04,我們深入討論了 Agent 的技術限制、落地場景、以及為什麼大多數 Agent 產品都失敗了。,38:45,https://open.spotify.com/episode/example2,https://podcasts.apple.com/example2,https://youtube.com/watch?v=example2
2026-04,AI Agent,當 AI 不再只是回答問題而是主動完成任務——AI Agent 的現況、挑戰與實作方法全面探討。,Bob,AutoGPT 一年後的反思,產品觀察,產品評測,從爆紅到沈寂，AutoGPT 教會我們什麼關於 Agent 的期待管理。,4,https://example.com/autogpt-reflection,,多數 Agent 失敗的原因是把「能做」和「該做」混為一談。,,,,,,,
2026-04,AI Agent,當 AI 不再只是回答問題而是主動完成任務——AI Agent 的現況、挑戰與實作方法全面探討。,Bob,Claude Code 作為 coding agent 的實測,工具測試,開發工具,深度測試 Claude Code 在真實專案中的 Agent 能力表現。,5,https://example.com/claude-code-test,https://medium.com/@example/claude-code,好的 Agent 不是取代人類，而是讓人類做更高層次的決策。,,,,,,,
2026-04,AI Agent,當 AI 不再只是回答問題而是主動完成任務——AI Agent 的現況、挑戰與實作方法全面探討。,Bob,Multi-Agent 協作框架比較,論文,架構設計,比較 CrewAI、AutoGen、LangGraph 三大多 Agent 框架的設計哲學。,4,https://example.com/multi-agent,,,,,,,,,
2026-04,AI Agent,當 AI 不再只是回答問題而是主動完成任務——AI Agent 的現況、挑戰與實作方法全面探討。,Bob,Agent 安全性與對齊問題,論文,安全/倫理,當 Agent 有了自主行動能力，如何確保它不會造成非預期的傷害。,5,https://example.com/agent-safety,https://medium.com/@example/agent-safety,,,,,,,,
2026-03,設計系統,為什麼你的團隊需要一套設計系統？從 Figma token 到 code 落地的完整指南。,Charlie,Figma Variables 與 Design Tokens 實戰,工具測試,工具實作,從 Figma Variables 到 Style Dictionary 的完整設計 token 工作流。,5,https://example.com/figma-tokens,https://medium.com/@example/figma-tokens,設計系統的價值不在於一致性本身，而在於讓團隊把精力花在真正需要創意的地方。,設計系統值得投資嗎？,EP.03,我們討論了設計系統的投資報酬率、何時該建何時不該建、以及小團隊的務實做法。,35:20,https://open.spotify.com/episode/example3,https://podcasts.apple.com/example3,https://youtube.com/watch?v=example3
2026-03,設計系統,為什麼你的團隊需要一套設計系統？從 Figma token 到 code 落地的完整指南。,Charlie,Tailwind CSS 作為設計系統的基礎層,論文,技術實作,探討 Tailwind 的 utility-first 理念如何與設計系統結合。,4,https://example.com/tailwind-design-system,,,,,,,,,
2026-03,設計系統,為什麼你的團隊需要一套設計系統？從 Figma token 到 code 落地的完整指南。,Charlie,小團隊的設計系統策略,產品觀察,團隊策略,5 人以下團隊如何用最小成本建立有效的設計系統。,4,https://example.com/small-team-ds,https://medium.com/@example/small-team-ds,小團隊不需要完整的設計系統——需要的是共識與約定。,,,,,,,
